                 name                  | totalCities 
---------------------------------------+-------------
 Thailand                              |           3
 Virgin Islands, U.S.                  |           1
 Faroe Islands                         |           1
 Bangladesh                            |           3
 Indonesia                             |          14
 Murica                                |          35
 Italy                                 |           7
 Venezuela                             |           7
 Oman                                  |           2
 Cameroon                              |           2
 Czech Republic                        |           1
 Sweden                                |           1
 Congo, The Democratic Republic of the |           2
 United Kingdom                        |           8
 Dominican Republic                    |           3
 Germany                               |           7
 Cambodia                              |           2
 American Samoa                        |           1
 Sri Lanka                             |           1
 Canada                                |           7
 Brunei                                |           1
 Anguilla                              |           1
 Finland                               |           1
 South Korea                           |           5
 Colombia                              |           6
 Saint Vincent and the Grenadines      |           1
 Runion                                |           1
 Ukraine                               |           6
 Saudi Arabia                          |           5
 Argentina                             |          13
 Liechtenstein                         |           1
 Latvia                                |           2
 Holy See (Vatican City State)         |           1
 Azerbaijan                            |           2
 Egypt                                 |           6
 Greece                                |           2
 Afghanistan                           |           1
 Chad                                  |           1
 Puerto Rico                           |           2
 India                                 |          60
 Iran                                  |           8
 French Polynesia                      |           2
 Algeria                               |           3
 Chile                                 |           3
 France                                |           4
 Gambia                                |           1
 Estonia                               |           1
 Vietnam                               |           6
 Slovakia                              |           1
 Israel                                |           4
 South Africa                          |          11
 Nauru                                 |           1
 Peru                                  |           4
 Senegal                               |           1
 Kenya                                 |           2
 Malaysia                              |           3
 Kazakstan                             |           2
 Zambia                                |           1
 Madagascar                            |           1
 Yugoslavia                            |           2
 Hong Kong                             |           1
 Kuwait                                |           1
 Japan                                 |          31
 Philippines                           |          20
 Tuvalu                                |           1
 Iraq                                  |           1
 Turkey                                |          15
 Nigeria                               |          13
 Mozambique                            |           3
 Switzerland                           |           3
 Ecuador                               |           3
 New Zealand                           |           1
 Hungary                               |           1
 China                                 |          53
 Armenia                               |           1
 Belarus                               |           2
 Pakistan                              |           5
 Russian Federation                    |          28
 Netherlands                           |           5
 Romania                               |           2
 Paraguay                              |           3
 Brazil                                |          28
 Austria                               |           3
 Australia                             |           1
 Bolivia                               |           2
 Ethiopia                              |           1
 Angola                                |           2
 Bahrain                               |           1
 Yemen                                 |           4
 Lithuania                             |           1
 Bulgaria                              |           2
 Spain                                 |           5
 Turkmenistan                          |           1
 Tunisia                               |           1
 Sudan                                 |           2
 United Arab Emirates                  |           3
 Malawi                                |           1
 Morocco                               |           3
 Moldova                               |           1
 Myanmar                               |           2
 Mexico                                |          30
 Tonga                                 |           1
 Nepal                                 |           1
 Tanzania                              |           3
 Taiwan                                |          10
 Poland                                |           8
 Greenland                             |           1
 French Guiana                         |           1
(108 rows)

